video_name,video_id,frame_number,timestamp_sec,track_id,frame_width,frame_height,video_fps,center_x,center_y,normalized_x,normalized_y,bbox_width,bbox_height,bbox_area_ratio,detection_confidence,motion_valid,movement_distance_px,movement_distance_norm,speed_px_s,speed_norm_s,acceleration_px_s2,acceleration_norm_s2,direction_angle_deg,direction_change_deg,direction_sin,direction_cos,consecutive_frames
download.mp4,VIDEO_001,5,0.1333,2,1920,1080,30.0,1710.33,1027.95,0.890795,0.951807,74.02,104.1,0.00371597,0.344215,1,0.3565,0.00016185,10.6963,0.00485552,-617.4076,-0.28026945,282.3458,42.6597,-0.97687488,0.21381175,5
download.mp4,VIDEO_001,5,0.1333,4,1920,1080,30.0,1806.93,887.01,0.941107,0.821303,41.72,141.5,0.0028466,0.409557,1,9.2546,0.0042011,277.6388,0.12603289,-3341.0501,-1.51665498,255.2968,6.3392,-0.96725348,-0.25381233,5
download.mp4,VIDEO_001,5,0.1333,5,1920,1080,30.0,1439.3,891.69,0.749635,0.825641,50.16,93.31,0.00225723,0.279969,1,7.1304,0.00323682,213.9125,0.09710464,1110.1844,0.50396331,203.874,32.8995,-0.40472587,-0.91443806,5
download.mp4,VIDEO_001,5,0.1333,8,1920,1080,30.0,1739.86,913.31,0.906179,0.845654,58.41,115.9,0.00326463,0.47516,1,3.9666,0.00180061,118.9973,0.0540183,0.0,0.0,230.2799,0.0,-0.76917583,-0.6390372,2
download.mp4,VIDEO_001,5,0.1333,9,1920,1080,30.0,1599.54,1010.08,0.833094,0.935264,74.63,137.04,0.004932,0.444458,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,6,0.1667,1,1920,1080,30.0,1873.02,961.59,0.97553,0.890358,38.65,181.98,0.00339212,0.528711,1,19.1564,0.00869596,574.692,0.26087892,10024.7439,4.55068831,238.3308,39.235,-0.85109378,-0.52501369,6
download.mp4,VIDEO_001,6,0.1667,2,1920,1080,30.0,1710.18,1027.12,0.890721,0.951034,73.6,103.56,0.00367603,0.350109,1,0.8469,0.00038446,25.4077,0.01153373,441.344,0.20034617,260.3459,21.9999,-0.98583816,-0.16769951,6
download.mp4,VIDEO_001,6,0.1667,4,1920,1080,30.0,1804.34,880.49,0.939761,0.815269,40.61,135.37,0.00265137,0.353859,1,7.0102,0.00318223,210.3045,0.0954668,-2020.0275,-0.91698259,248.3725,6.9243,-0.92959948,-0.3685713,6
download.mp4,VIDEO_001,6,0.1667,5,1920,1080,30.0,1433.15,890.99,0.746433,0.824995,50.65,93.22,0.00227687,0.281868,1,6.1864,0.00280828,185.5917,0.08424854,-849.624,-0.38568307,186.4764,17.3976,-0.11279347,-0.99361845,6
download.mp4,VIDEO_001,6,0.1667,8,1920,1080,30.0,1736.0,911.64,0.904168,0.844115,60.96,121.44,0.00357023,0.420416,1,4.2038,0.00190831,126.1152,0.05724943,213.5365,0.09693396,203.295,26.9849,-0.39546601,-0.91848061,3
download.mp4,VIDEO_001,6,0.1667,9,1920,1080,30.0,1598.68,1008.23,0.832648,0.933551,75.86,139.26,0.00509431,0.409213,1,2.0386,0.00092543,61.159,0.02776284,0.0,0.0,245.1586,0.0,-0.9074742,-0.42010782,2
download.mp4,VIDEO_001,6,0.1667,11,1920,1080,30.0,933.25,822.85,0.486066,0.761894,49.52,99.37,0.00237304,0.423547,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,7,0.2,1,1920,1080,30.0,1863.31,952.35,0.970475,0.881805,39.69,182.4,0.0034917,0.460699,1,13.398,0.00608194,401.9387,0.18245832,-5182.5988,-2.3526179,223.5858,14.745,-0.6894402,-0.7243426,7
