video_name,video_id,window_index,window_start_sec,window_end_sec,zone_id,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,zone_presence_ratio,avg_bbox_area_ratio,total_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,avg_movement_norm,avg_speed_px_s,avg_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,mean_direction_deg,direction_consistency,movement_activity
download.mp4,VIDEO_001,7,14.0,16.0,ZONE_A,4,1.1429,2,1.0,0.00217666,0.01741331,0.298982,4,0.00248728,164.3771,0.07461824,0.01226953,0.05744532,0.08043071,12.3729,122.3675,0.889568,0.5
download.mp4,VIDEO_001,7,14.0,16.0,ZONE_B,4,1.375,3,1.0,0.00156905,0.05177869,0.317092,26,0.00122535,80.9803,0.03676065,0.01778211,-0.00029516,0.57760565,19.8718,23.5304,0.625713,0.787879
download.mp4,VIDEO_001,7,14.0,16.0,ZONE_C,10,2.3871,5,1.0,0.00330957,0.24490787,0.342002,59,0.0024909,164.6168,0.07472707,0.05107283,0.11200581,1.48370043,24.5411,67.3279,0.466361,0.797297
mall.mp4,VIDEO_002,0,0.0,2.0,ZONE_A,13,5.8167,9,1.0,0.00445782,1.55577952,0.441701,332,0.00143148,63.0052,0.0429014,0.02925638,0.02210412,0.91403687,21.6183,154.6461,0.402697,0.951289
mall.mp4,VIDEO_002,0,0.0,2.0,ZONE_B,22,11.55,15,1.0,0.00355252,2.4618968,0.407616,666,0.0008887,39.1154,0.0266344,0.02755191,0.00918857,0.6389454,35.1435,322.3528,0.23964,0.961039
mall.mp4,VIDEO_002,0,0.0,2.0,ZONE_C,7,4.4,5,1.0,0.00370713,0.97868272,0.428266,253,0.00083323,36.6741,0.02497206,0.02802072,0.01376654,0.60113598,39.5686,210.0378,0.372417,0.958333
mall.mp4,VIDEO_002,1,2.0,4.0,ZONE_A,16,5.9,9,1.0,0.00418924,1.48299057,0.485728,340,0.00143156,63.0087,0.04290382,0.03038275,-0.0051566,0.82189174,28.8325,143.5554,0.341308,0.960452
mall.mp4,VIDEO_002,1,2.0,4.0,ZONE_B,25,16.0167,20,1.0,0.00337794,3.24620504,0.444603,946,0.00073066,32.1594,0.02189794,0.02075084,-0.00212575,0.43504723,34.6397,199.6551,0.048691,0.984391
mall.mp4,VIDEO_002,1,2.0,4.0,ZONE_C,9,3.1833,6,1.0,0.00462976,0.88428444,0.43059,181,0.00051617,22.7188,0.01546967,0.01679431,0.02272189,0.41618108,46.9685,234.2613,0.238821,0.947644
mall.mp4,VIDEO_002,2,4.0,6.0,ZONE_A,10,5.2667,7,1.0,0.00477037,1.50743549,0.464218,309,0.00139332,61.3256,0.04175773,0.02880547,0.01412946,0.88501908,27.7959,142.1047,0.487772,0.977848
mall.mp4,VIDEO_002,2,4.0,6.0,ZONE_B,27,16.3167,18,1.0,0.00309618,3.03116508,0.460753,968,0.00069762,30.7053,0.02090781,0.01972314,0.00208536,0.4454672,40.0867,59.9207,0.073762,0.988764
mall.mp4,VIDEO_002,2,4.0,6.0,ZONE_C,9,4.2833,6,1.0,0.00390673,1.00402882,0.455597,252,0.00051115,22.498,0.01531931,0.02562448,0.02157903,0.57495707,42.8346,247.6066,0.093413,0.980545
mall.mp4,VIDEO_002,3,6.0,8.0,ZONE_A,11,5.2,7,1.0,0.00468381,1.46135008,0.35101,298,0.00153651,67.628,0.04604915,0.03051184,0.00170836,1.00212013,24.1295,144.2009,0.498402,0.955128
mall.mp4,VIDEO_002,3,6.0,8.0,ZONE_B,25,16.1667,20,1.0,0.00314959,3.055105,0.436218,955,0.00074389,32.7416,0.02229435,0.02212915,-0.00074136,0.5407895,36.1252,66.629,0.26323,0.984536
mall.mp4,VIDEO_002,3,6.0,8.0,ZONE_C,7,3.9667,5,1.0,0.0038271,0.91084967,0.450757,230,0.00037911,16.6861,0.01136187,0.0092186,0.00397606,0.26527959,30.4656,329.0775,0.29902,0.966387
mall.mp4,VIDEO_002,4,8.0,10.0,ZONE_A,7,3.9,6,1.0,0.0048707,1.13974387,0.438963,229,0.00127864,56.2784,0.03832102,0.04435709,0.00500018,1.46693038,25.9022,114.8659,0.576874,0.978632
mall.mp4,VIDEO_002,4,8.0,10.0,ZONE_B,27,16.2,19,1.0,0.00288201,2.80131516,0.455983,958,0.00061727,27.1684,0.01849946,0.01766381,0.00431708,0.46179303,36.2714,107.2135,0.094839,0.985597
mall.mp4,VIDEO_002,4,8.0,10.0,ZONE_C,10,4.6,6,1.0,0.00354256,0.9777452,0.486275,270,0.00074225,32.6696,0.02224532,0.02268162,0.00311424,0.34923375,37.7149,357.5929,0.286211,0.978261
mall.mp4,VIDEO_002,5,10.0,12.0,ZONE_A,7,2.9333,4,1.0,0.00400462,0.70481269,0.526125,170,0.00103949,45.7523,0.03115359,0.01773866,0.01247369,0.45396903,16.9759,76.6906,0.619105,0.965909
mall.mp4,VIDEO_002,5,10.0,12.0,ZONE_B,24,15.9,18,1.0,0.00279754,2.66885217,0.459083,943,0.00058678,25.8267,0.01758587,0.02351297,-0.00274204,0.6999967,40.6689,100.6405,0.079635,0.98847
mall.mp4,VIDEO_002,5,10.0,12.0,ZONE_C,10,4.1,6,1.0,0.00375173,0.92292648,0.463414,240,0.00065275,28.73,0.01956279,0.01944245,-0.0007716,0.36250482,36.1124,245.5571,0.128858,0.97561
mall.mp4,VIDEO_002,6,12.0,14.0,ZONE_A,10,4.9167,7,1.0,0.00521948,1.53974577,0.42454,285,0.00113844,50.1073,0.03411896,0.02675632,0.0183739,0.82850259,26.71,120.9738,0.491815,0.966102
mall.mp4,VIDEO_002,6,12.0,14.0,ZONE_B,26,18.2833,20,1.0,0.00289995,3.18124315,0.420811,1081,0.00057858,25.4658,0.01734011,0.01875551,0.00480957,0.44628493,37.3731,178.3314,0.204569,0.985415
mall.mp4,VIDEO_002,6,12.0,14.0,ZONE_C,8,5.75,7,1.0,0.00480625,1.65815607,0.492621,339,0.00096776,42.595,0.02900368,0.02925093,0.00310941,0.70935247,37.8659,217.233,0.536636,0.982609
mall.mp4,VIDEO_002,7,14.0,16.0,ZONE_A,14,6.5833,9,1.0,0.00446939,1.76540846,0.451598,383,0.00111843,49.2265,0.03351924,0.02411856,0.00671899,0.66471104,28.9361,142.8905,0.516502,0.96962
mall.mp4,VIDEO_002,7,14.0,16.0,ZONE_B,28,16.2667,19,1.0,0.00310611,3.03156272,0.443818,960,0.0006888,30.3171,0.02064347,0.02255521,-0.00011421,0.58370622,36.8302,135.5019,0.168832,0.983607
mall.mp4,VIDEO_002,7,14.0,16.0,ZONE_C,11,3.5,7,1.0,0.0047046,0.987966,0.463591,204,0.00079822,35.133,0.02392267,0.02948698,0.00018432,0.72509939,41.1649,196.2036,0.388555,0.971429
mall.mp4,VIDEO_002,8,16.0,18.0,ZONE_A,22,7.4833,10,1.0,0.00469625,2.1086156,0.445018,430,0.00147138,64.7616,0.04409735,0.03413346,0.02875081,1.08769882,31.962,130.6424,0.390996,0.957684
mall.mp4,VIDEO_002,8,16.0,18.0,ZONE_B,27,14.1333,18,1.0,0.00316097,2.68049965,0.482489,831,0.0006236,27.4472,0.01868932,0.01865406,0.0036037,0.34993904,34.4811,152.6573,0.103805,0.979953
mall.mp4,VIDEO_002,8,16.0,18.0,ZONE_C,7,2.85,5,1.0,0.00443124,0.75774134,0.416654,170,0.00043416,19.1093,0.0130119,0.01570465,0.0006257,0.52861783,43.8646,269.5504,0.189591,0.994152
mall.mp4,VIDEO_002,9,18.0,20.0,ZONE_A,16,8.0167,10,1.0,0.00467578,2.24904888,0.458556,471,0.00136033,59.8738,0.04076915,0.02926375,-0.00013887,0.85145757,28.2662,131.7903,0.440893,0.97921
mall.mp4,VIDEO_002,9,18.0,20.0,ZONE_B,26,14.6667,18,1.0,0.00300262,2.64230862,0.449852,867,0.00053674,23.6241,0.01608612,0.01876811,-0.00629641,0.42266083,36.1555,246.242,0.087642,0.985227
mall.mp4,VIDEO_002,9,18.0,20.0,ZONE_C,6,3.7,5,1.0,0.00394289,0.87532065,0.474466,216,0.00060222,26.5063,0.01804863,0.02443443,-0.00494185,0.52739887,47.6828,328.8599,0.103435,0.972973
mall.mp4,VIDEO_002,10,20.0,22.0,ZONE_A,12,5.1333,8,1.0,0.00475176,1.46354113,0.415546,294,0.00119581,52.6325,0.03583841,0.03409153,0.01643271,1.02268068,29.4456,152.2768,0.387091,0.954545
